Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Secretaría de Marina,SEMARMX,212150908889717,1622459,1654307,2020-08-30 16:15:16 CDT,Photo,11713,633,14340,9143,63,29,7,4,319,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2902552216516226,"#Entérate Por primera vez en la historia de la @SEMAR_mx, zarpó una Patrulla Costera al mando de una mujer, con lo que orgullosamente se impulsa el liderazgo y empoderamiento de las mujeres navales. Más información en https://bit.ly/3gJmb8S:=:https://www.gob.mx/cms/uploads/attachment/file/575138/MARINA_NOTA_INFORMATIVA_300820.pdf #SoyNaval",https://www.facebook.com/SEMARMX/photos/a.397708360333970/2902549859849795/?type=3,,#SOY NAVAL D 3,Photos from Secretaría de Marina's post,,,,"36,251","36,251",14.28
Secretaría de Marina,SEMARMX,212150908889717,1644173,1676483,2020-09-15 20:07:21 CDT,Photo,11330,264,6185,10330,54,18,3,0,407,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2950395105065270,"Embajador y Caballero de los mares, orgullo naval que con su majestuosidad enaltece nuestro fervor patrio. #FelizNoche de #15DeSeptiembre #GritoDeIndependencia #MesPatrio",https://www.facebook.com/SEMARMX/photos/a.438666452904827/2950395025065278/?type=3,,,,,,,"28,591","28,591",11.27
Secretaría de Marina,SEMARMX,212150908889717,1644173,1676483,2020-09-16 08:27:45 CDT,Photo,14824,319,1816,9774,34,21,13,2,352,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2951895998248514,"Desde la plancha del #Zócalo, estamos listos para conmemorar el CCX Aniversario de la Independencia de México. #SomosNavales y estamos #ParaServirAMéxico #16DeSeptiembre",https://www.facebook.com/SEMARMX/photos/a.397708360333970/2951894561581991/?type=3,,,,,,,"27,155","27,155",10.7
Secretaría de Marina,SEMARMX,212150908889717,1622459,1654307,2020-08-30 18:56:37 CDT,Photo,8380,1756,7586,7428,138,23,209,2,148,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2902847416486706,"#AsíSeVivió la llegada de los aspirantes a la #UniversidadNaval, para presentar los exámenes de la “Fase Definitiva”. ¡Mucho éxito!",https://www.facebook.com/SEMARMX/photos/a.397708360333970/2902841013154013/?type=3,,,Photos from Secretaría de Marina's post,,,,"25,670","25,670",10.11
Secretaría de Marina,SEMARMX,212150908889717,1654241,1673102,2020-09-30 07:59:55 CDT,Photo,18816,333,743,5328,15,27,8,1,227,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2994810963957017,"#PilotosAeronavales, en el mar, en el aire, en la tierra, siempre dispuestos #ParaServirAMéxico #FelizMiércoles",https://www.facebook.com/SEMARMX/photos/a.397708360333970/2994802497291197/?type=3,,,,,,,"25,498","25,498",10.05
Secretaría de Marina,SEMARMX,212150908889717,1688937,1713828,2020-12-04 08:03:44 CST,Photo,13018,290,917,5323,26,23,3,1,183,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/3169911009780344,Tripulación del Buque ARM Sonora con Honor y Lealtad surca nuestros mares #ParaServirAMéxico y les desea #FelizViernes.,https://www.facebook.com/SEMARMX/photos/a.397708360333970/3169881779783267/?type=3,,,,,,,"19,784","19,784",7.8
Secretaría de Marina,SEMARMX,212150908889717,1654582,1673481,2020-10-01 07:49:37 CDT,Photo,14311,144,608,3859,33,20,1,1,141,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2997814953656618,"Desde las alturas, damos inicio al mes de #Octubre2020 con la mejor actitud #ParaServirAMéxico. Orgullosamente #SoyNaval #FelizJueves",https://www.facebook.com/SEMARMX/photos/a.397708360333970/2997814163656697/?type=3,,#SOYNAVAL MARINA,,,,,"19,118","19,118",7.53
Secretaría de Marina,SEMARMX,212150908889717,1668227,1688728,2020-11-15 10:31:10 CST,Photo,12330,268,557,3749,37,21,2,1,143,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/3120285934742852,Siempre motivados vamos a donde se requiera para cumplir con la misión. La tripulación del BAL-01 les desea #FelizDomingo,https://www.facebook.com/SEMARMX/photos/a.397708360333970/3120283284743117/?type=3,,,,,,,"17,108","17,108",6.74
Secretaría de Marina,SEMARMX,212150908889717,1592762,1608324,2020-06-01 08:01:41 CDT,Photo,6314,513,5996,3815,11,10,1,1,400,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2659084977529619,"#SabíasQue Hoy se conmemora el 103 aniversario del #DíaDeLaMarina, fecha en la que se reconoce la labor de mujeres y hombres en la mar. Feliz #DíaDeLaMarina Nacional",https://www.facebook.com/SEMARMX/photos/a.397708360333970/2659083830863067/?type=3,,,,,,,"17,061","17,061",6.72
Secretaría de Marina,SEMARMX,212150908889717,1653076,1671858,2020-09-26 08:07:32 CDT,Photo,11176,105,789,4132,19,20,4,0,162,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2982858321818948,Cada generación quedará plasmada en alguna de nuestras imágenes y serán recordados por su honor y lealtad #ParaServirAMéxico. #FelizSábado,https://www.facebook.com/SEMARMX/photos/a.397708360333970/2982817885156325/?type=3,,,,,,,"16,407","16,407",6.46
Secretaría de Marina,SEMARMX,212150908889717,1667838,1688265,2020-11-14 13:42:58 CST,Photo,11329,346,950,2810,21,20,0,0,123,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/3117999721638140,"Buques de la #ArmadaDeMéxico, emprendiendo el rumbo con la misión de proteger y vigilar los litorales mexicanos.",https://www.facebook.com/SEMARMX/photos/a.397708360333970/3117998478304931/?type=3,,,,,,,"15,599","15,599",6.15
Secretaría de Marina,SEMARMX,212150908889717,1712143,1741319,2021-01-22 14:15:29 CST,Photo,5680,1998,4133,2721,46,38,35,8,108,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/3291798970924880,¿Quieres formar parte de nuestras filas? Ingresa a: https://bit.ly/3qFXUWW:=:https://www.gob.mx/semar/es y conoce los requisitos para ingresar como Marinero de Infantería de Marina asignado a la Guardia Nacional. ¡No dejes pasar esta oportunidad!,https://www.facebook.com/SEMARMX/photos/a.397708360333970/3291798544258256/?type=3,,"SÉ PARTE DE NUESTRAS FILAS COMO MARINERO DE INF FANTERIA DE MARINA E INTEGRANTE DE LA GUARDIA NACIONAL Conoce los beneficios, requisitos e información de contacto dando clic en el enlace SOYNAVAL MABINA",,,,,"14,767","14,767",5.82
Secretaría de Marina,SEMARMX,212150908889717,1656632,1675685,2020-10-05 18:38:16 CDT,Photo,9960,124,804,3216,33,12,8,0,136,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/3011231538981626,"#AlMomento La Quinta Región Naval activó el Plan Marina en Fase de Prevención, debido a posibles afectaciones provocadas por la trayectoria de la Tormenta Tropical “DELTA” en los estados de Quintana Roo y Yucatán. 👉 https://bit.ly/2SvIcOU:=:https://www.gob.mx/cms/uploads/attachment/file/582575/RN-5_05102020.pdf",https://www.facebook.com/SEMARMX/photos/a.397708360333970/3011230775648369/?type=3,,,,,,,"14,293","14,293",5.63
Secretaría de Marina,SEMARMX,212150908889717,1644173,1676483,2020-09-16 13:16:50 CDT,Photo,5516,174,2190,4982,5,3,4,0,164,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2952600548178059,#PorSiTeLoPerdiste Visita nuestra galería y revive cada momento de la Ceremonia del CCX Aniversario de la Independencia de México.,https://www.facebook.com/SEMARMX/photos/a.397708360333970/2952596398178474/?type=3,,,Photos from Secretaría de Marina's post,,,,"13,038","13,038",5.14
Secretaría de Marina,SEMARMX,212150908889717,1639944,1671994,2020-09-03 20:03:42 CDT,Photo,5528,171,881,5281,25,6,43,0,155,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2914926361945478,Desde la Heroica Escuela Naval Militar les deseamos #BuenasNoches,https://www.facebook.com/SEMARMX/photos/a.397708360333970/2914915858613195/?type=3,,,,,,,"12,090","12,090",4.76
Secretaría de Marina,SEMARMX,212150908889717,1641761,1673916,2020-09-08 15:00:07 CDT,Photo,7114,110,483,4144,9,10,6,0,125,,0,0,0,N/A,https://www.facebook.com/SEMARMX/posts/2929027923868655,"Porque #ParaServirAMéxico se requiere de lealtad y compromiso, los #InfantesDeMarina estamos dispuestos a darlo todo por nuestra Nación. #FelizMartes",https://www.facebook.com/SEMARMX/photos/a.397708360333970/2928983937206387/?type=3,,,,,,,"12,001","12,001",4.73
