Name,mean(Confidence)
Abies,72.87957763671875
Accessories,80.89709777832032
Accessory,80.89709777832032
Adventure,77.24431745467648
Advertisement,79.83464955120552
Aerial View,70.50865881783622
Aircraft,91.47982423570421
Aircraft Carrier,69.85258865356445
Airfield,76.68596226236095
Airliner,69.36970277266069
Airplane,78.60617580633054
Airport,78.19357673243472
Airport Terminal,58.96148681640625
Alloy Wheel,64.81183369954427
Alphabet,64.11137517293294
Ambulance,84.718170166015625
American Flag,66.56532778058734
American Football,70.81118240356446
Amphibious Vehicle,61.98040962219238
Amusement Park,56.70937728881836
Analog Clock,55.65743637084961
Anchor,58.946590423583984
Angler,64.28167533874512
Animal,81.77127194926686
Antelope,84.47088623046875
Antenna,82.82905578613281
Apartment Building,58.49505615234375
Apparel,88.60807454997095
Appliance,87.65245819091797
Applique,69.7042236328125
Aqua Scuba,78.26722564697266
Arbour,73.23099136352539
Arcade Game Machine,93.68778228759766
Arch,71.75780995686848
Arch Bridge,95.92925262451172
Arched,71.75780995686848
Architecture,74.64388843292886
Arecaceae,73.46962529962713
Arena,70.96751880645752
Arm,79.76445770263672
Armor,55.230247497558594
Armored,82.78973072794228
Army,82.7720233347621
Art,76.9935429573059
Asphalt,69.68812539842394
Astronaut,75.40216345536082
Astronomy,80.35511627197266
Athlete,75.87054552350726
Atlas,87.04674530029297
Atoll,58.33305358886719
Audience,78.4546127319336
Automobile,76.30301005045573
Azure Sky,64.253355662028
Baby,75.61299133300781
Backpack,57.08779525756836
Badge,64.928314208984375
Bag,59.49793243408203
Ball,85.01641464233398
Balloon,76.01036071777344
Ballplayer,73.04513359069824
Banister,76.6378231048584
Barefoot,56.150146484375
Barge,69.55709473983102
Baseball,73.84716415405273
Baseball Cap,68.33688831329346
Baseball Field,78.65934753417969
Basketball,58.22894859313965
Basketball Court,56.30363082885742
Bathing Cap,65.43749523162842
Battleship,74.89415254779891
Bazaar,79.90998077392578
Beach,73.90130321796124
Beach Wagon,70.0654296875
Beagle,83.70697021484375
Beanie,72.98457336425781
Bear,59.78270721435547
Bed,86.33739852905273
Bench,85.35906219482422
Bicycle,77.2121114730835
Bike,77.2121114730835
Billboard,64.55507469177246
Binoculars,69.88236045837402
Biplane,59.65505123138428
Bird,78.76352124214172
Biscuit,56.409637451171875
Blazer,67.09671401977539
Blonde,61.55076217651367
Blossom,64.98185729980469
Boardwalk,57.054304122924805
Boat,92.99317266804601
Bomb,85.88961029052734
Bomber,75.58675130208333
Bonfire,85.91461563110352
Book,72.63836392489347
Bottle,67.84478759765625
Bow,80.06604766845703
Bowl,56.60582605997721
Box,81.09714031219482
Boxing,87.872161865234375
Boy,56.01072311401367
Bracelet,77.72929000854492
Brass Section,76.51478449503581
Bread,73.54461669921875
