Account,User Name,Followers at Posting,Created,Type,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Comments 1x ),Overperforming Score
Secretaría de Marina,semar_mx,225678,2020-12-19 08:04:54 CST,Photo,11671,36,0,https://www.instagram.com/p/CI-2ZrQBbUF/,https://www.instagram.com/p/CI-2ZrQBbUF/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/131620393_771709540047768_1230052107937116988_n.jpg?_nc_cat=109&ccb=3&_nc_sid=8ae9d6&_nc_ohc=uVebVFA0Zi4AX83aGyR&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=9e527500139a8e30d390006ee2c9b472&oe=60593FE6,,"#InfantesDeMarina por el bienestar del pueblo mexicano.

Les desean #FelizSábado 

#SEMAR

#ArmadaDeMéxico

#SecretaríaDeMarina",#SOY NAVAL MARIN MARINA,,,"11,707","11,707",3.13
Secretaría de Marina,semar_mx,207941,2020-09-15 22:25:41 CDT,Photo,10593,42,0,https://www.instagram.com/p/CFLqhrfhOq-/,https://www.instagram.com/p/CFLqhrfhOq-/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/119665888_606964666646068_5508631810755896651_n.jpg?_nc_cat=101&ccb=3&_nc_sid=8ae9d6&_nc_ohc=QhYx4GZthtcAX-FOT7a&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=8c8104c2f20e292c4e87db9da89126f3&oe=605B2384,,"Embajador y Caballero de los mares, orgullo naval que con su majestuosidad enaltece nuestro fervor patrio.

#FelizNoche de #15DeSeptiembre #GritoDeIndependencia

#MesPatrio

#15deseptiembre",,,,"10,635","10,635",3.06
Secretaría de Marina,semar_mx,165393,2020-03-17 12:37:26 CST,Photo,9657,34,0,https://www.instagram.com/p/B92FZVfBx6V/,https://www.instagram.com/p/B92FZVfBx6V/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/90089915_1054228441618835_631618020902882246_n.jpg?_nc_cat=103&ccb=3&_nc_sid=8ae9d6&_nc_ohc=ocwzojC2ocYAX-SZlm9&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=054593bb36a9d0b22007f05fac340663&oe=605A85BF,,"#InfanteríaDeMarina una labor digna de admiración y respeto. 
#SoyNaval y estoy #ParaServirAMéxico 
#FelizMartes #SEMAR #SecretaríaDeMarina  #ArmadaDeMéxico",,,,"9,691","9,691",2.79
Secretaría de Marina,semar_mx,217703,2020-11-04 07:59:51 CST,Photo,9089,9,0,https://www.instagram.com/p/CHK-DTcBpGr/,https://www.instagram.com/p/CHK-DTcBpGr/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/123396178_144644974041163_3042200491562560064_n.jpg?_nc_cat=100&ccb=3&_nc_sid=8ae9d6&_nc_ohc=2DnKzO16UKcAX__dffm&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=01c3b57deff444f283c006221fcb1990&oe=605B25D0,,"#InfantesDeMarina en constante entrenamiento #ParaServirAMéxico.

#FelizMiércoles
#SoyNaval 
#ParaServirAMéxico
#ArmadaDeMéxico
#SEMAR",,,,"9,098","9,098",2.53
Secretaría de Marina,semar_mx,164670,2020-03-14 08:09:31 CST,Photo,9038,13,0,https://www.instagram.com/p/B9t4WdDBL6Q/,https://www.instagram.com/p/B9t4WdDBL6Q/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/90071218_2323329131298596_4872155351425111048_n.jpg?_nc_cat=105&ccb=3&_nc_sid=8ae9d6&_nc_ohc=EUFSuvP-qgIAX_lB6KA&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=786deb41008cc962645030ed6d1b6f51&oe=605B3F07,,"El cuerpo de #InfanteríaDeMarina se mantiene siempre alerta porque sabe que #ParaSevirAMéxico no hay momento para bajar la guardia.

#FelizSábado 
#SoyNaval

#SEMAR

#SecretaríaDeMarina

#ArmadaDeMéxico",,,,"9,051","9,051",2.6
Secretaría de Marina,semar_mx,188400,2020-06-07 07:41:49 CDT,Photo,8782,19,0,https://www.instagram.com/p/CBIl4h-hvtc/,https://www.instagram.com/p/CBIl4h-hvtc/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/101780309_243175923650286_3344096006467289917_n.jpg?_nc_cat=108&ccb=3&_nc_sid=8ae9d6&_nc_ohc=_aGGFK8DdtcAX_ISfV9&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=543e8841f359802d4a4e0d826f1f762d&oe=605C847F,,"Claudicar no es una opción para los #InfantesDeMarina y siempre estaremos listos para actuar en beneficio de México y la población civil.

#SoyNaval

#ArmadaDeMéxico",,,,"8,801","8,801",2.53
Secretaría de Marina,semar_mx,224744,2020-12-13 08:07:08 CST,Photo,8509,47,0,https://www.instagram.com/p/CIvZ4zwhnXD/,https://www.instagram.com/p/CIvZ4zwhnXD/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/130557089_671784676842794_1353092023520592381_n.jpg?_nc_cat=108&ccb=3&_nc_sid=8ae9d6&_nc_ohc=ucOVk-GO6ZMAX8Li1-s&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=7232f13335b25c9adb8cb88f0ea746be&oe=605C95C9,,"La #MujerNaval nunca claudica; pues siempre mantiene el entusiasmo #ParaServirAMéxico

#FelizDomingo

#ArmadaDeMéxico

#InfanteríaDeMarina",,,,"8,556","8,556",2.31
Secretaría de Marina,semar_mx,186514,2020-05-29 07:40:20 CDT,Photo,8238,32,0,https://www.instagram.com/p/CAxaj1dBEP4/,https://www.instagram.com/p/CAxaj1dBEP4/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/100996757_182656946392644_2351028633951834887_n.jpg?_nc_cat=104&ccb=3&_nc_sid=8ae9d6&_nc_ohc=kHIiPLBU-icAX_xwn60&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=58ee4cb5fff5e2b59619d0b23ab92505&oe=605BC21A,,"La satisfacción que causan nuestras acciones en la población civil, nos alienta a continuar con nuestras labores para quien más lo necesita.

Estamos #ParaServirAMéxico",,,,"8,270","8,270",2.38
Secretaría de Marina,semar_mx,227878,2021-01-03 07:56:34 CST,Photo,8252,17,0,https://www.instagram.com/p/CJldXuMMGxX/,https://www.instagram.com/p/CJldXuMMGxX/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/135295424_2725832767731457_5221051349784335675_n.jpg?_nc_cat=104&ccb=3&_nc_sid=8ae9d6&_nc_ohc=3zIO_B_krFsAX-IVS9N&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=49db12679612db016d889c28f660dca0&oe=605AAE99,,"A primera hora, el personal de #InfanteríaDeMarina ya se encuentra listo para iniciar actividades.

Desde el campo de entrenamiento les damos los #BuenosDías 

#ArmadaDeMéxico",,,,"8,269","8,269",2.18
Secretaría de Marina,semar_mx,221513,2020-11-24 07:56:45 CST,Photo,7935,10,0,https://www.instagram.com/p/CH-dmFVMzaP/,https://www.instagram.com/p/CH-dmFVMzaP/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/126911234_284331599679064_1179503933716549744_n.jpg?_nc_cat=106&ccb=3&_nc_sid=8ae9d6&_nc_ohc=O4-vV43qrG0AX9Hw-PW&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=a3c6c7ddc3f7352a1e3642ee7cdac6ca&oe=605CBC32,,"Entereza y honor, cualidades esenciales de un  #InfanteDeMarina.
#SecretaríaDeMarina

#ArmadaDeMéxico",,,,"7,945","7,945",2.16
