Name,mean(Confidence)
Accessories,80.01483535766602
Accessory,80.01483535766602
Adventure,84.35995101928711
Advertisement,69.97467765808105
Aerial View,56.534732818603516
Aircraft,92.53628818805402
Aircraft Carrier,60.15681838989258
Airfield,73.1338005065918
Airplane,80.87327651977539
Airport,74.53697967529297
Alloy Wheel,62.412288665771484
Animal,85.19423270225525
Apparel,90.3122360318206
Arch,63.264400482177734
Arched,63.264400482177734
Architecture,75.29077693394252
Arecaceae,68.36821365356445
Arena,56.978912353515625
Armored,86.39564836528939
Army,86.38208244216274
Art,69.38250732421875
Asphalt,70.91774129867554
Astronaut,61.772653579711914
Athlete,55.0059700012207
Atlas,77.77103424072266
Automobile,83.44445716010199
Backpack,57.08779525756836
Bag,57.08779525756836
Ballplayer,55.0059700012207
Banister,59.89243698120117
Baseball,55.0059700012207
Baseball Cap,66.16764831542969
Basketball,56.30363082885742
Basketball Court,56.30363082885742
Battleship,77.78633499145508
Bench,66.46314239501953
Bicycle,73.6921215057373
Bike,73.6921215057373
Bird,79.83095332554409
Boat,95.50590667724609
Bomber,78.31982803344727
Book,62.15738296508789
Brass Section,72.64582824707031
Brick,56.829254150390625
Bridge,79.44567108154297
Brochure,67.61925888061523
Building,80.04162176031815
Bus,65.5403060913086
Bush,74.93543243408203
Canine,85.22212261623807
Cap,62.85785388946533
Captain,82.65226364135742
Car,83.44445716010199
Car Wheel,63.785587310791016
Cat,77.87352752685547
Cattle,95.06836700439453
Chair,91.41302871704102
City,76.21277313232422
Clinic,77.51280212402344
Clothing,90.3122360318206
Cloud,58.53431701660156
Coast,69.57148742675781
Coast Guard,80.57759475708008
Cockpit,93.07084655761719
Coil,57.97816848754883
Collage,57.76618194580078
Condo,66.44195556640625
Costume,57.634822845458984
Counter Strike,56.256893157958984
Coupe,59.53025436401367
Cow,95.06836700439453
Crash Helmet,55.87663269042969
Cricket,58.2105712890625
Crowd,72.87013405247738
Cruiser,84.53339958190918
Cumulus,58.53431701660156
Denim,68.5213254292806
Desk,78.27278137207031
Destroyer,88.52809238433838
Diagram,84.76630401611328
Display,60.93582534790039
Dock,75.21566935947963
Doctor,56.44053649902344
Dog,85.88887929916382
Door,74.189361572265625
Downtown,76.04203414916992
Electronics,63.29169209798177
Emblem,64.46321105957031
Face,58.9737491607666
Factory,84.2633285522461
Fashion,55.78770446777344
Festival,78.38749694824219
Field,82.03659003121513
Finger,72.22093391418457
Fireman,55.476863861083984
Flag,89.57695284756747
Flagstone,64.29069646199544
Flare,71.50371360778809
Floor,56.83112716674805
Flooring,66.85270309448242
Flyer,67.61925888061523
Flying,81.03745651245117
Footwear,89.7395881204044
Furniture,83.09639994303386
German Shepherd,80.27094268798828
Grass,83.4876542524858
Guard,65.70769882202148
Gun,85.83633089065552
Handrail,59.89243698120117
Hangar,82.54997253417969
Harbor,82.297149658203125
Hardhat,63.05094909667969
Hat,79.30369741266423
Helicopter,90.7210575285412
Helmet,92.21209893907819
High Rise,73.66604423522949
Home Decor,96.2734375
Hook,58.69680404663086
Horn,70.65514373779297
Horse,78.11867014567058
Hospital,57.428070068359375
Hound,55.37831115722656
Housing,64.66205406188965
Human,96.49011027428412
Intersection,61.52161407470703
Jar,61.96689033508301
Jeans,68.5213254292806
Jeep,61.95143508911133
Jet,70.2624626159668
Lab,57.35361862182617
Labrador Retriever,66.01648712158203
Land,67.57374000549316
Landing,55.44249725341797
Landscape,57.942209243774414
Lawn,78.350616455078125
Leisure Activities,77.99629974365234
Light,83.364288330078125
Lighting,69.65909767150879
Logo,72.42479705810547
Long Sleeve,59.344818115234375
Machine,74.41431868703742
Mammal,86.18982728322347
Manufacturing,57.96137237548828
Map,84.76630401611328
Marching,78.68860844203404
Metropolis,74.72428894042969
Military,92.06759924258826
Military Uniform,91.8365770521618
Monitor,60.93582534790039
Motorcycle,57.31748962402344
Mural,58.914344787597656
Music Band,91.29866790771484
Musical Instrument,93.3448486328125
Musician,93.3448486328125
Nature,73.28777465820312
Navy,81.94195485998083
Neighborhood,58.79536819458008
Night,58.10181427001953
Number,79.78755950927734
Ocean,75.84331893920898
Office Building,87.9936752319336
Officer,74.70230215567129
Offroad,76.59642219543457
Outdoors,72.28273715972901
Paintball,63.27606964111328
Painting,58.914344787597656
Palm Tree,68.36821365356445
Panoramic,59.34968566894531
Pants,84.21360778808594
Paper,72.42030843098958
Park,68.90366554260254
Path,68.63689231872559
Pedestrian,96.193115234375
People,80.13186695049336
Person,96.49011027428412
Pet,83.9765438079834
Photo,58.9737491607666
Photography,58.9737491607666
Pier,75.21566935947963
Plant,79.42122039794921
Plot,91.8964614868164
Police,63.88954162597656
Police Dog,89.9376106262207
Port,75.21566935947963
Portrait,58.9737491607666
Postal Office,57.722755432128906
Poster,69.0907958984375
Potted Plant,61.96689033508301
Pottery,61.96689033508301
Railing,65.72266960144043
Rainbow,81.92994689941406
Road,68.80451583862305
Rope,59.452735900878906
Rotor,57.97816848754883
Sailor Suit,75.62986373901367
Scenery,57.942209243774414
Screen,63.29169209798177
Sea,75.84331893920898
Ship,84.36404101053874
Shoe,89.7395881204044
Shoreline,69.57148742675781
Shorts,78.64455795288086
Sitting,83.82315826416016
Skateboard,69.200592041015625
Sky,71.42489878336589
Sleeve,59.16040802001953
Sniper,57.704227447509766
Softball,55.0059700012207
Soldier,77.21475500219009
Sombrero,72.78047943115234
Space Station,83.55296325683594
Spaceship,61.137542724609375
Spiral,57.97816848754883
Spire,71.55868721008301
Spoke,58.947526931762695
Sport,64.79626168145074
Sports,64.79626168145074
Sports Car,59.53025436401367
Stadium,56.978912353515625
Steamer,55.09028625488281
Steeple,71.55868721008301
Storm,57.76742172241211
Street,68.3624890645345
Sunglasses,75.10284169514973
Suspension Bridge,58.28727340698242
Swat Team,56.32762472970145
Symbol,86.42740249633789
Table,81.33738708496094
Tank,59.93817710876465
Tarmac,70.91774129867554
Team,66.16599464416504
Team Sport,61.20240879058838
Telescope,55.42393112182617
Text,67.24397811889648
Tie,94.75081634521484
Tire,67.35504264831543
Tower,71.55868721008301
Town,76.21277313232422
Trademark,72.42479705810547
Trailer Truck,63.22801971435547
Transportation,91.8605840168302
Tree,72.00872192382812
Triangle,76.3662109375
Troop,78.7845315700624
Truck,91.71293767293294
Urban,73.79838503324069
Van,68.54676818847656
Vase,61.96689033508301
Vegetation,64.09012985229492
Vehicle,91.75392550513858
